week,country,region,sub_region,cases,deaths
2021-02-08,France,Lorraine,Vosges,914,
2021-02-15,France,Lorraine,Meurthe-et-Moselle,3055,
2021-02-15,France,Lorraine,Meuse,448,
2021-02-15,France,Lorraine,Moselle,6440,
2021-02-15,France,Lorraine,Vosges,822,
2021-02-22,France,Lorraine,Meurthe-et-Moselle,2296,
2021-02-22,France,Lorraine,Meuse,310,
2021-02-22,France,Lorraine,Moselle,4214,
2021-02-22,France,Lorraine,Vosges,549,
2020-02-24,Belgique,Wallonie,Liège,3,0
2020-03-02,Belgique,Wallonie,Brabant Wallon,15,0
2020-03-02,Belgique,Wallonie,Hainaut,26,0
2020-03-02,Belgique,Wallonie,Liège,41,0
2020-03-02,Belgique,Wallonie,Namur,10,0
2020-03-02,Belgique,Wallonie,Province de Luxembourg,2,0
2020-03-09,Belgique,Wallonie,Brabant Wallon,40,0
2020-03-09,Belgique,Wallonie,Hainaut,180,0
2020-03-09,Belgique,Wallonie,Liège,153,0
2020-03-09,Belgique,Wallonie,Namur,22,0
2020-03-09,Belgique,Wallonie,Province de Luxembourg,16,0
2020-03-09,Belgique,Wallonie,,0,1
2020-03-16,Belgique,Wallonie,Brabant Wallon,142,0
2020-03-16,Belgique,Wallonie,Hainaut,448,0
2020-03-16,Belgique,Wallonie,Liège,427,0
2020-03-16,Belgique,Wallonie,Namur,91,0
2020-03-16,Belgique,Wallonie,Province de Luxembourg,92,0
2020-03-16,Belgique,Wallonie,,0,72
2020-03-23,Belgique,Wallonie,Brabant Wallon,187,0
2020-03-23,Belgique,Wallonie,Hainaut,840,0
2020-03-23,Belgique,Wallonie,Liège,805,0
2020-03-23,Belgique,Wallonie,Namur,232,0
2020-03-23,Belgique,Wallonie,Province de Luxembourg,203,0
2020-03-23,Belgique,Wallonie,,0,293
2020-03-30,Belgique,Wallonie,Brabant Wallon,208,0
2020-03-30,Belgique,Wallonie,Hainaut,1002,0
2020-03-30,Belgique,Wallonie,Liège,1214,0
2020-03-30,Belgique,Wallonie,Namur,375,0
2020-03-30,Belgique,Wallonie,Province de Luxembourg,389,0
2020-03-30,Belgique,Wallonie,,0,542
2020-04-06,Belgique,Wallonie,Brabant Wallon,226,0
2020-04-06,Belgique,Wallonie,Hainaut,1165,0
2020-04-06,Belgique,Wallonie,Liège,1236,0
2020-04-06,Belgique,Wallonie,Namur,391,0
2020-04-06,Belgique,Wallonie,Province de Luxembourg,222,0
2020-04-06,Belgique,Wallonie,,0,743
2020-04-13,Belgique,Wallonie,Brabant Wallon,230,0
2020-04-13,Belgique,Wallonie,Hainaut,1061,0
2020-04-13,Belgique,Wallonie,Liège,1316,0
2020-04-13,Belgique,Wallonie,Namur,381,0
2020-04-13,Belgique,Wallonie,Province de Luxembourg,239,0
2020-04-13,Belgique,Wallonie,,0,563
2020-04-20,Belgique,Wallonie,Brabant Wallon,204,0
2020-04-20,Belgique,Wallonie,Hainaut,893,0
2020-04-20,Belgique,Wallonie,Liège,781,0
2020-04-20,Belgique,Wallonie,Namur,302,0
2020-04-20,Belgique,Wallonie,Province de Luxembourg,80,0
2020-04-20,Belgique,Wallonie,,0,427
2020-04-27,Belgique,Wallonie,Brabant Wallon,49,0
2020-04-27,Belgique,Wallonie,Hainaut,311,0
2020-04-27,Belgique,Wallonie,Liège,249,0
2020-04-27,Belgique,Wallonie,Namur,166,0
2020-04-27,Belgique,Wallonie,Province de Luxembourg,42,0
2020-04-27,Belgique,Wallonie,,0,248
2020-05-04,Belgique,Wallonie,Brabant Wallon,67,0
2020-05-04,Belgique,Wallonie,Hainaut,293,0
2020-05-04,Belgique,Wallonie,Liège,273,0
2020-05-04,Belgique,Wallonie,Namur,171,0
2020-05-04,Belgique,Wallonie,Province de Luxembourg,45,0
2020-05-04,Belgique,Wallonie,,0,179
2020-05-11,Belgique,Wallonie,Brabant Wallon,40,0
2020-05-11,Belgique,Wallonie,Hainaut,223,0
2020-05-11,Belgique,Wallonie,Liège,153,0
2020-05-11,Belgique,Wallonie,Namur,92,0
2020-05-11,Belgique,Wallonie,Province de Luxembourg,27,0
2020-05-11,Belgique,Wallonie,,0,103
2020-05-18,Belgique,Wallonie,Brabant Wallon,39,0
2020-05-18,Belgique,Wallonie,Hainaut,151,0
2020-05-18,Belgique,Wallonie,Liège,108,0
2020-05-18,Belgique,Wallonie,Namur,45,0
2020-05-18,Belgique,Wallonie,Province de Luxembourg,17,0
2020-05-18,Belgique,Wallonie,,0,81
2020-05-25,Belgique,Wallonie,Brabant Wallon,23,0
2020-05-25,Belgique,Wallonie,Hainaut,142,0
2020-05-25,Belgique,Wallonie,Liège,74,0
2020-05-25,Belgique,Wallonie,Namur,38,0
2020-05-25,Belgique,Wallonie,Province de Luxembourg,22,0
2020-05-25,Belgique,Wallonie,,0,48
2020-06-01,Belgique,Wallonie,Brabant Wallon,25,0
2020-06-01,Belgique,Wallonie,Hainaut,84,0
2020-06-01,Belgique,Wallonie,Liège,64,0
2020-06-01,Belgique,Wallonie,Namur,22,0
2020-06-01,Belgique,Wallonie,Province de Luxembourg,11,0
2020-06-01,Belgique,Wallonie,,0,35
2020-06-08,Belgique,Wallonie,Brabant Wallon,19,0
2020-06-08,Belgique,Wallonie,Hainaut,86,0
2020-06-08,Belgique,Wallonie,Liège,48,0
2020-06-08,Belgique,Wallonie,Namur,15,0
2020-06-08,Belgique,Wallonie,Province de Luxembourg,16,0
2020-06-08,Belgique,Wallonie,,0,18
2020-06-15,Belgique,Wallonie,Brabant Wallon,16,0
2020-06-15,Belgique,Wallonie,Hainaut,66,0
2020-06-15,Belgique,Wallonie,Liège,50,0
2020-06-15,Belgique,Wallonie,Namur,12,0
2020-06-15,Belgique,Wallonie,Province de Luxembourg,17,0
2020-06-15,Belgique,Wallonie,,0,8
2020-06-22,Belgique,Wallonie,Brabant Wallon,17,0
2020-06-22,Belgique,Wallonie,Hainaut,93,0
2020-06-22,Belgique,Wallonie,Liège,36,0
2020-06-22,Belgique,Wallonie,Namur,10,0
2020-06-22,Belgique,Wallonie,Province de Luxembourg,20,0
2020-06-22,Belgique,Wallonie,,0,15
2020-06-29,Belgique,Wallonie,Brabant Wallon,11,0
2020-06-29,Belgique,Wallonie,Hainaut,69,0
2020-06-29,Belgique,Wallonie,Liège,22,0
2020-06-29,Belgique,Wallonie,Namur,11,0
2020-06-29,Belgique,Wallonie,Province de Luxembourg,12,0
2020-06-29,Belgique,Wallonie,,0,11
2020-07-06,Belgique,Wallonie,Brabant Wallon,19,0
2020-07-06,Belgique,Wallonie,Hainaut,44,0
2020-07-06,Belgique,Wallonie,Liège,49,0
2020-07-06,Belgique,Wallonie,Namur,7,0
2020-07-06,Belgique,Wallonie,Province de Luxembourg,23,0
2020-07-06,Belgique,Wallonie,,0,2
2020-07-13,Belgique,Wallonie,Brabant Wallon,17,0
2020-07-13,Belgique,Wallonie,Hainaut,111,0
2020-07-13,Belgique,Wallonie,Liège,97,0
2020-07-13,Belgique,Wallonie,Namur,22,0
2020-07-13,Belgique,Wallonie,Province de Luxembourg,54,0
2020-07-13,Belgique,Wallonie,,0,6
2020-07-20,Belgique,Wallonie,Brabant Wallon,31,0
2020-07-20,Belgique,Wallonie,Hainaut,145,0
2020-07-20,Belgique,Wallonie,Liège,183,0
2020-07-20,Belgique,Wallonie,Namur,47,0
2020-07-20,Belgique,Wallonie,Province de Luxembourg,33,0
2020-07-20,Belgique,Wallonie,,0,5
2020-07-27,Belgique,Wallonie,Brabant Wallon,73,0
2020-07-27,Belgique,Wallonie,Hainaut,241,0
2020-07-27,Belgique,Wallonie,Liège,391,0
2020-07-27,Belgique,Wallonie,Namur,111,0
2020-07-27,Belgique,Wallonie,Province de Luxembourg,54,0
2020-07-27,Belgique,Wallonie,,0,6
2020-08-03,Belgique,Wallonie,Brabant Wallon,102,0
2020-08-03,Belgique,Wallonie,Hainaut,295,0
2020-08-03,Belgique,Wallonie,Liège,456,0
2020-08-03,Belgique,Wallonie,Namur,144,0
2020-08-03,Belgique,Wallonie,Province de Luxembourg,57,0
2020-08-03,Belgique,Wallonie,,0,8
2020-08-10,Belgique,Wallonie,Brabant Wallon,96,0
2020-08-10,Belgique,Wallonie,Hainaut,244,0
2020-08-10,Belgique,Wallonie,Liège,423,0
2020-08-10,Belgique,Wallonie,Namur,153,0
2020-08-10,Belgique,Wallonie,Province de Luxembourg,53,0
2020-08-10,Belgique,Wallonie,,0,24
2020-08-17,Belgique,Wallonie,Brabant Wallon,91,0
2020-08-17,Belgique,Wallonie,Hainaut,325,0
2020-08-17,Belgique,Wallonie,Liège,217,0
2020-08-17,Belgique,Wallonie,Namur,121,0
2020-08-17,Belgique,Wallonie,Province de Luxembourg,51,0
2020-08-17,Belgique,Wallonie,,0,8
2020-08-24,Belgique,Wallonie,Brabant Wallon,105,0
2020-08-24,Belgique,Wallonie,Hainaut,259,0
2020-08-24,Belgique,Wallonie,Liège,276,0
2020-08-24,Belgique,Wallonie,Namur,98,0
2020-08-24,Belgique,Wallonie,Province de Luxembourg,45,0
2020-08-24,Belgique,Wallonie,,0,8
2020-08-31,Belgique,Wallonie,Brabant Wallon,146,0
2020-08-31,Belgique,Wallonie,Hainaut,314,0
2020-08-31,Belgique,Wallonie,Liège,305,0
